Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,11320H,Yok (Free Dos),Yok,Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Lenovo,21.499,https://www.hepsiburada.com//lenovo-ideapad-gaming-3-intel-core-i5-11320h-32gb-512gb-ssd-rtx3050ti-freedos-15-6-fhd-165-hz-tasinabilir-bilgisayar-82k101entx-32-pm-HBC00004G3L1F
Belirtilmemiş,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Belirtilmemiş,16 MB L3 Cache,5.Nesil,AMD Ryzen 7,5825U,Yok (Free Dos),Yok,Numerik Tuşlu,"4,5 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Acer,11.399,https://www.hepsiburada.com//acer-aspire-5-a515-47-amd-ryzen-7-5825u-8-gb-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-k80ey-001-canta-ve-mouse-pm-HBC00003TG89Q
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,1235U,1235U,Yok (Free Dos),Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Belirtilmemiş,16 GB,DDR4,Gri,512 GB,Notebook,Var,HP,17.954,https://www.hepsiburada.com//hp-probook-450-g9-intel-core-i5-1235u-16-gb-512-gb-ssd-15-6-6s6w8eaz15-fhd-freedos-tasinabilir-bilgisayar-canta-pm-HBC00004BS065
2666 MHz,Var,2 kg ve Altı,Yok,"17,3 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX350,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,23.999,https://www.hepsiburada.com//lenovo-v17-intel-core-i7-1165g7-16gb-512gb-ssd-mx350-freedos-17-3-fhd-tasinabilir-bilgisayar-82nx00ectx02-pm-HBC000017XLTZ
2666 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,WVA,Yok,Yok,Var,6 MB Cache,11.Nesil,Intel Core i3,1115G4,Windows 10 Home,Var,Aydınlatmalı,"4,1 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,256 GB,Notebook,Var,Dell,10.199,https://www.hepsiburada.com//dell-vostro-3400-intel-core-i3-1115g4-8gb-256gb-ssd-windows-10-home-14-fhd-tasinabilir-bilgisayar-n6001vn3400emea01u09-pm-HBC00000WZXY7
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4060,IPS,Yok,Yok,Var,24 MB,13.Nesil,Intel Core i7,13650HX,Windows 11 Home,Belirtilmemiş,Q Türkçe,"4,9 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Siyah,1 TB,Oyun Bilgisayarları,Var,Dell,44.799,https://www.hepsiburada.com//dell-gaming-g15-5530-g155530013wh-intel-core-i7-13650hx-16gb-ddr5-1tb-ssd-rtx-4060-8gb-15-6-inc-full-hd-windows-11-home-tasinabilir-oyuncu-bilgisayari-pm-HBC0000497Q30
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,14.199,https://www.hepsiburada.com//hp-15-dw4004nt-i7-1255u-8gb-ram-512gb-ssd-intel-iris-xe-graphips-15-6-inc-fhd-freedos-gumus-71v45ea-tasinabilir-bilgisayar-pm-HBC000044UKJ4
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,2 GB,Harici Ekran Kartı,Nvidia GeForce MX550,IPS,Yok,Belirtilmemiş,Var,12 MB L3 Cache,12.Nesil,Intel Core i5,1235U,Windows 11 Pro,Var,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,15.894,https://www.hepsiburada.com//hp-15-dw4007nt-intel-core-i5-1235u-16-gb-512-gb-ssd-mx550-windows-11-pro-15-6-tasinabilir-bilgisayar-71t64ea-m4-pm-HBC00003OQOBE
3200 MHz,Var,2 - 4 kg,Yok,14 inç,GDDR6,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,LED,Yok,Yok,Var,8 MB L3 Cache,4.Nesil,4600H,AMD Ryzen 5,Yok (Free Dos),Yok,Q Türkçe,4 GHz,1920 x 1080,Yok,Yok,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,Asus,11.389,https://www.hepsiburada.com//asus-vivobook-14-m1402ia-ek136-16-ryzen-5-4600h-16-gb-512-gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-canta-ve-mouse-pm-HBC00003O65RW
4800 MHz,Var,2 - 4 kg,Yok,"17,3 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Belirtilmemiş,RGB,"4,7 GHz",2560 x 1440,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Acer,39.999,https://www.hepsiburada.com//acer-nitro-5-an517-55-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-4060-freedos-17-3-165-hz-qhd-tasinabilir-bilgisayar-nh-qlfey-001-pm-HBC00004FZEXZ
2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce GTX1650,IPS,Yok,Yok,Var,8 MB Cache,10.Nesil,Intel Core i5,10300H,Windows 10 Pro,Yok,Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Asus,17.999,https://www.hepsiburada.com//asus-tuf-gaming-intel-core-i5-10300h-16gb-512gb-ssd-gtx1650-windows-10-pro-15-6-tasinabilir-bilgisayar-fx506lhb-hn323wp04-pm-HBC00002Q2OGE
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Yok (Free Dos),MicroSD  Card Reader,Aydınlatmalı,"4,7 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Metalik Gri,512 GB,Notebook,Var,Dell,21.989,https://www.hepsiburada.com//dell-latitude-5420-intel-core-i7-1165g7-16gb-512gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-n028l542014emea1-pm-HBC000014T1R4
2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,IPS,Yok,Yok,Var,8 MB Cache,10.Nesil,Intel Core i5,10300H,Yok (Free Dos),Yok,Numerik Tuşlu Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Asus,18.499,https://www.hepsiburada.com//asus-tuf-gaming-fx506lha4-hn004a4-intel-core-i5-10300h-16gb-512gb-ssd-gtx-1650-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00000F211G
4266 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Harici Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,8 MB Cache,Ryzen,AMD Ryzen 5,5500U,Linux,Yok,Q Türkçe,4 GHz,1920 x 1080,Yok,Var,8 GB,LPDDR4X,Gümüş,512 GB,Notebook,Var,Acer,13.200,https://www.hepsiburada.com//acer-swift-3-sf314-43-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-14-tasinabilir-bilgisayar-nx-ab1ey-002-pm-HBC0000156DKJ
4800 MHz,Var,2 - 4 kg,Yok,16 inç,GDDR6,8 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4070,IPS,Yok,Yok,Var,24 MB Cache,13.Nesil,Intel Core i7,13650HX,Yok (Free Dos),Yok,Q Türkçe,"4,9 GHz",1920 x 1200,Yok,Yok,16 GB,DDR5,Koyu Gri,1 TB,Oyun Bilgisayarları,Var,Asus,55.000,https://www.hepsiburada.com//asus-rog-strix-g16-g614ji-n3187-8gb-rtx4070-13-nesil-i7-13650hx-16gb-ram-1tb-ssd-16-inc-fhd-165hz-tasinabilir-bilgisayar-pm-HBC000047X9RG
2400 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,TN,Yok,Yok,Var,4 MB Cache,10.Nesil,Intel Core i3,10110U,Yok (Free Dos),Yok,Q Türkçe,"4,1 GHz",1920 x 1080,Yok,Yok,4 GB,DDR4,Gri,256 GB,Notebook,Var,Asus,7.849,https://www.hepsiburada.com//asus-x415fa-ek068-intel-core-i3-10110u-4gb-256gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-pm-HBC000022YGX1
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",GDDR4,8 GB,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Belirtilmemiş,Belirtilmemiş,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Yok,Q Türkçe,"2,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Huawei,12.849,https://www.hepsiburada.com//huawei-matebook-d15-11-nesil-intel-core-i5-1135g7-8gb-512gb-windows-11-home-tasinabilir-bilgisayar-pm-HBC000022AS0E
4800 MHz,Var,1 - 2 kg,Yok,14 inç,GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,AMD Radeon RX 6700S,IPS,Yok,Yok,Var,20 MB Cache,Ryzen,AMD Ryzen 9,6800HS,Yok (Free Dos),MicroSD Card Reader,Q Türkçe,"4,7 GHz",1920 x 1200,Yok,Yok,16 GB,DDR5,Gri,512 GB,Oyun Bilgisayarları,Var,Asus,37.398,https://www.hepsiburada.com//asus-rog-zephyrus-g14-ga402rj-l4081-amd-ryzen-7-6800hs-16gb-512gb-ssd-rx6700s-freedos-14-wuxga-144hz-tasinabilir-bilgisayar-pm-HBC000048ZU6M
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,WVA,Yok,1 TB,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 10 Pro,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Belirtilmemiş,16 GB,DDR4,Siyah,1 TB,Notebook,Var,Dell,16.400,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i5-1135g7-16gb-1tb-1tb-ssd-windows-10-pro-15-6-tasinabilir-bilgisayar-f35obf821na54-pm-HBC00001DZJ46
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX350,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 10 Home,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Acer,12.931,https://www.hepsiburada.com//acer-aspire-a315-58g-intel-core-i5-1135g7-8gb-512gb-ssd-mx350-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-nx-aduey-001a2-pm-HBC00003QKUMR
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Windows 11 Home,Var,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,13.199,https://www.hepsiburada.com//hp-15-dw4008nt-i5-1235u-8gb-ram-512gb-ssd-intel-iris-xe-graphips-15-6-inc-fhd-winh-gumus-6y7z4ea-tasinabilir-bilgisayar-pm-HBC000044U35L
Belirtilmemiş,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,IPS,Yok,Yok,Var,Belirtilmemiş,10.Nesil,Intel Core i5,1035G1,Yok (Free Dos),Var,Q Türkçe,Yok,1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,256 GB,Notebook,Var,HP,11.199,https://www.hepsiburada.com//hp-240-g8-34p71es-intel-core-i5-1035g1-8gb-256gb-ssd-14-fhd-freedos-tasinabilir-bilgisayar-pm-HBC000004I1L2
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,SVA,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 10 Pro,Belirtilmemiş,Numerik Tuşlar Yok,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,256 GB,Notebook,Var,HP,13.299,https://www.hepsiburada.com//hp-14s-dq2006nt-intel-core-i5-1135g7-8gb-256gb-ssd-windows-10-pro-14-fhd-tasinabilir-bilgisayar-4g6a5ea-8g-pm-HBC000014CUCR
3200 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,TN,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,8 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,16.899,https://www.hepsiburada.com//lenovo-ideapad-3-15itl6-intel-core-i7-1165g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h802f7tx-pm-HBC00002LBPG2
2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,TN,Yok,Yok,Var,4 MB Cache,Ryzen,AMD Ryzen 3,3250U,Yok (Free Dos),Yok,Q Türkçe,"3,5 GHz",1366 x 768,Yok,Yok,8 GB,DDR4,Gümüş,256 GB,Notebook,Var,Asus,8.349,https://www.hepsiburada.com//asus-d515da-br408-s8-amd-ryzen-3-3250u-8gb-ram-256gb-ssd-freedos-15-6-hd-tasinabilir-bilgisayar-pm-HBC00002OES47
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,WVA,Yok,1 TB,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Windows 11 Pro,Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,21.399,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i7-1165g7-32gb-1tb-512gb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-dl2205a107-pm-HBC000038PAWJ
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,TN,Yok,Yok,Var,20 MB Cache,5.Nesil,AMD Ryzen 7,5825U,Windows 11 Pro,Var,Numerik Tuşlu,"4,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,1 TB,Notebook,Var,Lenovo,17.000,https://www.hepsiburada.com//lenovo-v15-gen3-aba-amd-ryzen-7-5825u-16gb-1tb-ssd-windows11pro-15-6-fhd-tasinabilir-bilgisayar-v82tv004ltx21-zettacanta-pm-HBC00003Y96WV
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Harici Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1195G7,Windows 11 Pro,Var,Q Türkçe,5 GHz,1920 x 1080,Yok,Var,64 GB,DDR4,Siyah,2 TB,Notebook,Var,HP,20.899,https://www.hepsiburada.com//hp-15s-fq4006nt-intel-core-i7-1195g7-64gb-2tb-ssd-windows11pro-15-6-intel-iris-xe-fhd-tasinabilir-bilgisayar-54t74ea29-pm-HBC000039EWOA
2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,TN,Yok,Yok,Var,4 MB Cache,10.Nesil,Intel Core i3,10110U,Windows 10 Home,Var,Q Türkçe,"4,1 GHz",1366 x 768,Yok,Yok,4 GB,DDR4,Gri,256 GB,Notebook,Var,Asus,10.999,https://www.hepsiburada.com//asus-x509fa-br951t-intel-core-i3-10110u-4gb-256gb-ssd-windows-10-home-15-6-hd-tasinabilir-bilgisayar-pm-HBC000008SRHX
Belirtilmemiş,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Onboard,Liquid Retina XDR,Yok,Yok,Var,Belirtilmemiş,Apple M2 Pro,Apple M2 Pro,Apple M2 Pro,macOS,SDXC,Q Türkçe,Yok,3024 x 1964,Yok,Var,16 GB,Belirtilmemiş,Gri,1 TB,Notebook,Var,Apple,71.499,https://www.hepsiburada.com//apple-macbook-pro-m2-pro-16gb-1tb-ssd-macos-14-tasinabilir-bilgisayar-uzay-grisi-mphf3tu-a-pm-HBC00003O5G2R
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR4,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,8 MB Cache,4.Nesil,4600H,4600H,Windows 11 Home,Yok,Q Türkçe,4 GHz,1920 x 1080,Yok,Yok,8 GB,DDR4,Gümüş,256 GB,Notebook,Var,Asus,10.799,https://www.hepsiburada.com//asus-vivobook-15-m1502ia-ej129w-amd-ryzen-5-4600h-8gb-256gb-ssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-pm-HBC00002ZFCUI
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,24 MB Cache,13.Nesil,Intel Core i7,13620H,Yok (Free Dos),Var,Numerik Tuşlu Aydınlatmalı,"4,9 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Metalik Siyah,1 TB,Oyun Bilgisayarları,Var,HP,32.633,https://www.hepsiburada.com//hp-victus-gaming-15-fa1007nt-13-nesil-i7-13620h-32gb-1tb-ssd-6gb-rtx3050-15-6-inc-ips-fhd-144-hz-freedos-tasinabilir-bilgisayar-hp7n9r5ea05-zettacanta-pm-HBC00004BI42N
3200 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,16 MB Cache,5.Nesil,AMD Ryzen 5,5625U,Yok (Free Dos),Yok,Q Türkçe,"4,3 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,13.702,https://www.hepsiburada.com//hp-probook-455-g9-7k8q4aa-ryzen5-5625u-16gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-pm-HBC000042TOOZ
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,TN,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Var,Numerik Tuşlu,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,"Koyu Gri, Siyah",512 GB,Notebook,Var,Asus,13.523,https://www.hepsiburada.com//asus-x515ea-ej119-intel-core-i5-1135g7-16gb-512gb-ssd-windows11home-15-6-fhd-tasinabilir-bilgisayar-vej11904-zettacanta-pm-HBC000049PHG7
Belirtilmemiş,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Onboard,Liquid Retina XDR,Yok,Yok,Var,Belirtilmemiş,Apple M2 Pro,Apple M2 Pro,Apple M2 Pro,macOS,SDXC,Q Türkçe,Yok,3024 x 1964,Yok,Var,16 GB,Belirtilmemiş,Gri,512 GB,Notebook,Var,Apple,63.999,https://www.hepsiburada.com//apple-macbook-pro-m2-pro-16gb-512gb-ssd-macos-14-tasinabilir-bilgisayar-gumus-mphh3tu-a-pm-HBC00003O5G2V
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,IPS,512 GB,500 GB,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Belirtilmemiş,Yok,8 GB,DDR4,Gri,500 GB,Notebook,Var,Casper,10.499,https://www.hepsiburada.com//casper-nirvana-f500-1135-8v00x-g-f-intel-core-i5-1135g78-gbram-500gb-nvme-ssd-fredoss-tasinabilir-bilgisayar-pm-HBC00004CZ9QF
Belirtilmemiş,Var,1 - 2 kg,Yok,16 inç,Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Intel UHD Graphics,IPS,Yok,Yok,Var,8 MB Cache,12.Nesil,Intel Core i5,12450H,Windows 11 Home,Yok,Q Türkçe,"4,4 GHz",1920 x 1200,Belirtilmemiş,Var,8 GB,DDR4,Gri,512 GB,Notebook,Var,Huawei,18.900,https://www.hepsiburada.com//huawei-matebook-d16-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-16-tasinabilir-bilgisayar-pm-HBC00002NKF5R
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Windows 11 Pro,Var,Aydınlatmalı,"4,7 GHz",1920 x 1080,Yok,Belirtilmemiş,32 GB,DDR4,Gri,1 TB,Notebook,Var,HP,22.579,https://www.hepsiburada.com//hp-250-g9-intel-core-i7-1255u-32gb-1tb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-6q8m8esa43-pm-HBC000039FYZJ
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i5,11260H,Yok (Free Dos),Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Yok,64 GB,DDR4,"Koyu Gri, Siyah",1 TB,Notebook,Var,Dell,25.047,https://www.hepsiburada.com//dell-gaming-g15-5511-intel-core-i5-11260h-64gb-1tb-ssd-rtx3050-15-6-fhd-ubuntu-tasinabilir-bilgisayar-g55112306u08-zetta-canta-pm-HBC00003C063I
2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,IPS,Yok,Yok,Belirtilmemiş,6 MB Cache,10.Nesil,Intel Core i5,1035G1,Windows 11 Home,Var,Q Türkçe,"3,6 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Asus,12.589,https://www.hepsiburada.com//asus-x515ja-bq3258w-intel-core-intel-core-i5-1035g1-8gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003S0FB0
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,500 GB,Notebook,Var,Casper,11.949,https://www.hepsiburada.com//casper-nirvana-f500-1135-8v00t-g-f-intel-core-i5-1135g7-8gb-ram-500gb-nvme-ssd-windows-11-home-tasinabilir-bilgisayar-pm-HBC000028O3WM
5200 MHz,Var,1 - 2 kg,Yok,"13,4 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,WVA,Yok,Yok,Yok,12 MB Cache,12.Nesil,Intel Core i7,1250U,Windows 11 Pro,Yok,Aydınlatmalı,"4,7 GHz",1920 x 1200,Yok,Var,16 GB,LPDDR5,Gümüş,512 GB,Ultrabook,Var,Dell,35.998,https://www.hepsiburada.com//dell-xps-13-9315-intel-core-i7-1250u-16gb-512gb-ssd-windows-11-pro-13-3-fhd-tasinabilir-bilgisayar-pm-HBC00002QLVF8
2400 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,TN,Yok,Yok,Var,4 MB Cache,10.Nesil,Intel Core i3,10110U,Yok (Free Dos),Yok,Q Türkçe,"4,1 GHz",1920 x 1080,Yok,Yok,4 GB,DDR4,Gri,256 GB,Notebook,Var,Asus,7.849,https://www.hepsiburada.com//asus-x415fa-ek068-intel-core-i3-10110u-4gb-256gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-pm-HBC000022YGX1
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",GDDR4,8 GB,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Belirtilmemiş,Belirtilmemiş,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Yok,Q Türkçe,"2,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Huawei,12.849,https://www.hepsiburada.com//huawei-matebook-d15-11-nesil-intel-core-i5-1135g7-8gb-512gb-windows-11-home-tasinabilir-bilgisayar-pm-HBC000022AS0E
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Windows 11 Pro,Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,1 TB,Notebook,Var,HP,19.999,https://www.hepsiburada.com//hp-14s-dq2002nt-intel-core-i7-1165g7-16gb-1tb-ssd-intel-iris-xe-windows11pro-14-fhd-tasinbilir-bilgisayar-4g6e4ea20-pm-HBC00003FA0XH
